year,sector,brand,units
2018,Passeggeri,Fiat,22000
2018,Commerciale,Iveco,8000
2018,Elettrico,Tesla,2000
2019,Passeggeri,Fiat,24000
2019,Passeggeri,Volkswagen,15000
2019,Commerciale,Iveco,9000
2019,Elettrico,Nissan,3500
2020,Passeggeri,Fiat,20000
2020,Passeggeri,Renault,12000
2020,Commerciale,Iveco,7000
2021,Passeggeri,Fiat,30000
2021,Elettrico,Tesla,9000
2022,Passeggeri,Fiat,45000
2022,Passeggeri,Volkswagen,32000
2022,Commerciale,Iveco,12000
2022,Elettrico,Tesla,8000
2023,Passeggeri,Fiat,47000
2023,Passeggeri,Renault,22000
2023,Commerciale,Iveco,11000
2023,Elettrico,Fiat,9000
2024,Passeggeri,Fiat,49000
2024,Passeggeri,Stellantis,30000
2024,Commerciale,Iveco,13000
2024,Elettrico,Tesla,15000
2024,Elettrico,Volkswagen,7000
